City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Rikitea,PF,76.17,broken clouds,-23.1203,-134.9692,Pension Maro'i
9,Santo Tomas,PH,89.58,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
10,Saint-Philippe,RE,75.47,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
15,Padang,ID,84.85,broken clouds,-0.9492,100.3543,Mercure Padang
26,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Kavieng,PG,82.29,moderate rain,-2.5744,150.7967,Nusa Island Retreat
28,Butaritari,KI,82.67,light rain,3.0707,172.7902,Isles Sunset Lodge
34,Sturgis,US,76.8,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
40,Kelo,TD,78.19,overcast clouds,9.3086,15.8066,Plantation de Kelo
42,Soyo,AO,75.97,broken clouds,-6.1349,12.3689,Hotel Mpampa
44,Georgetown,MY,87.89,scattered clouds,5.4112,100.3354,Cititel Penang
46,Lahad Datu,MY,87.48,overcast clouds,5.0268,118.327,The 27th House
47,Mango,US,81.01,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
55,Meulaboh,ID,83.68,overcast clouds,4.1363,96.1285,Kost Pria
57,Hithadhoo,MV,83.23,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Mahebourg,MU,75.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Tutoia,BR,77.81,clear sky,-2.7619,-42.2744,Pousada Guará's
67,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
71,Bawku,GH,83.59,few clouds,11.0616,-0.2417,Ultimate Guest House
76,Sarangani,PH,82.2,moderate rain,5.4033,125.4636,Ballistic Islet
79,Atuona,PF,79.23,few clouds,-9.8,-139.0333,Villa Enata
88,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
92,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
93,Singaraja,ID,86.58,clear sky,-8.112,115.0882,Puri Bagus Lovina Resort
104,Port Blair,IN,85.73,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
114,Kurayoshi,JP,80.42,overcast clouds,35.4333,133.8167,Hotel Ark 21
115,Celestun,MX,81.7,overcast clouds,20.8667,-90.4,Posada Lilia
118,Tabou,CI,77.18,light rain,4.423,-7.3528,hotêl doufoulougou
120,Bambous Virieux,MU,75.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
125,Acapulco,MX,82.4,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
127,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
130,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
131,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
137,Labuhan,ID,87.75,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
138,Gampola,LK,80.28,overcast clouds,7.1643,80.5696,Leaf Holiday Resort
139,Dingle,PH,84.47,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
142,Lorengau,PG,80.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
146,Salalah,OM,87.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
149,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
150,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
152,Cabo San Lucas,MX,87.8,clear sky,22.8909,-109.9124,Tesoro Los Cabos
153,Sao Jose Da Coroa Grande,BR,75.51,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
155,Ixtapa,MX,81.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
159,Laguna,US,84.7,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
161,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
163,Itoman,JP,89.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
166,Bolgatanga,GH,82.44,few clouds,10.7856,-0.8514,Mama's Place
171,San Patricio,US,82.26,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
173,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
176,Kihei,US,80.62,few clouds,20.785,-156.4656,Maui Sunset
178,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
182,Panama City,PA,81.28,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
184,Bonoua,CI,80.22,light rain,5.2741,-3.595,Hotel Bon Samaritian
187,Taitung,TW,75.47,heavy intensity rain,22.7583,121.1444,Taitung Bali Suites Hotel
195,Etchojoa,MX,86.27,clear sky,26.9167,-109.6333,Cuadra RT
197,Kolda,SN,77.34,scattered clouds,12.8833,-14.95,Hôtel Hobbe Chasse
